Başlık,İçerik
Türkiye yeni döneme hazırlanıyor: Yapay zeka MGK'da,"Günümüzde neredeyse her alanda karşımıza çıkan 'yapay zeka' devletler için de ana gündem maddelerinden biri haline geldi. Türkiye’nin bu meseleye MGK Bildirisi’nde yer vermesi dikkate değer. Uzmanlara göre, Ankara bu adımla yapay zeka konusundaki gelişmeleri izlemekle yetinmeyeceği ve sürece devlet düzeyinde dahil olunacağı sinyalini verdi."
"Emine Erdoğan, ""Sıfır Atık"" projesine verilen ödülü teslim aldı","Emine Erdoğan, Sıfır Atık projesinin, çevreye duyarlı her bireyin ve kuruluşun gönlünde yer ettiğini, küresel bir hareketin adı olduğunu vurgulayarak, ""AKDENİZ-PA ödülünü, projeyi benimseyen, gönüllü katkılarıyla geliştiren, geleceğe taşıyan tüm doğa dostları adına kabul etmekten mutluluk duydum."" dedi."
İletişim Başkanlığı'ndan İstanbul’un fethinin 571. yıl dönümüne özel 3 ciltlik eser,"İletişim Başkanlığı tarafından İstanbul’un fethinin 571. yıl dönümü dolayısıyla Kutlu Çağrının İzinde: Türk Basınında İstanbul’un Fethi, Fatih Sultan Mehmed, Ayasofya Camii isimli üç ciltlik eser hazırlandı."
"FETÖ'nün ""kadın"" yapılanması çökertildi: Para transferi polis kamerasında","FETÖ’nün İstanbul'daki güncel ""kadın"" yapılanması operasyonla çökertildi. Örgütün para transferi polis kamerasına takıldı. Teslimat görüntülerine TRT Haber ulaştı."
EFES-2024 Tatbikatı'nda seçkin gözlemci günü,"Türk Silahlı Kuvvetlerinin en büyük birleşik, müşterek tatbikatlarından Efes-2024 Tatbikatı'nın seçkin gözlemci günü başladı."
Okçulukta 12. Uluslararası Fetih Kupası'nda ödüller sahiplerini buldu,"Okçulukta bu yıl 12. kez düzenlenen Fetih Kupası, final müsabakalarıyla sona erdi. İstanbul'da düzenlenen etkinlikte, ödüller sahiplerine takdim edildi."
LGS için geri sayım başladı,"8'inci sınıf öğrencileri 2 Haziran Pazar günü Liselere Geçiş Sistemi (LGS) kapsamında merkezi sınava girecek. Sınava sayılı günler kala uzmanlar, başarı için heyecan ve stres kontrolüne dikkati çekiyor. Öğrencilere ders çalışmayı hafifleterek sosyal etkinliklere yönelmeleri de tavsiye ediliyor."
NATO Dışişleri Bakanları toplantısı Prag'da yapılacak,"NATO Dışişleri Bakanları, Çekya'nın başkenti Prag'da bir araya geliyor. Gayriresmi formattaki toplantıda Türkiye'yi, Dışişleri Bakanı Hakan Fidan temsil ediyor."
Türk Kızılay Gazze'de yeniden sıcak yemek dağıtıyor,"Türk Kızılaydan yapılan açıklamaya göre, İsrail'in kara harekatı nedeniyle 6 Mayıs 2024'ten itibaren Refah'taki aşevi faaliyetleri sürdürülememişti."
"Emine Erdoğan: Yanarak can veren mazlumların çığlığı, vicdanlarımızda yankılanıyor","Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan, ""Yanarak can veren mazlumların çığlığı, vicdanlarımızda yankılanıyor. Bu vahşetin tanığı olmanın verdiği derin üzüntünün ve içimizdeki öfkenin tarifi yok"" dedi."
"""Bazı illerde 112 Acil sağlık hizmetleri istasyonları kapatılacak"" iddiası yalanlandı","Cumhurbaşkanlığı İletişim Başkanlığı Dezenformasyonla Mücadele Merkezi (DMM), ""Tasarruf tedbirleri kapsamında bazı illerde 112 sağlık hizmet birimlerine kilit vurulacak"" iddiasının doğru olmadığını açıkladı."
EKK: Enflasyonda belirgin bir gerileme bekliyoruz,"Ekonomi Koordinasyon Kurulu toplantısı sonrası yapılan açıklamada, para politikasındaki sıkı duruşun, maliye ve gelirler politikası ile desteklenmesi neticesinde, yılın ikinci yarısında yıllık enflasyonda belirgin bir gerileme beklendiği bildirildi."
Bakan Yumaklı: Başıboş sokak köpekleri sorununun üstesinden geleceğiz,"Tarım ve Orman Bakanı İbrahim Yumaklı, başıboş sokak köpekleri sorununa ilişkin, ""Bilim insanları başta olmak üzere, konunun uzmanlarının gerçekçi çözüm önerileri ve vatandaşımızın desteği ile ülkemizin bu sorunun da üstesinden geleceğine inanıyorum"" dedi."
Bahçeli: Haksız iddialarda bulunan kim varsa mahkemede dinlenmelerini istiyoruz,"MHP Genel Başkanı Devlet Bahçeli, ""MHP ve Ülkü Ocakları düşmanlığının sahnesi gazete ve televizyonlarda haksız ve hayasız iddialarda bulunan kim varsa mahkemede dinlenmelerini istiyoruz"" dedi."
Diyanet İşleri Başkanı Erbaş: Katil İsrail’in savunmasız insanlara saldırısını lanetliyorum,"Diyanet İşleri Başkanı Erbaş, İsrail'in Refah kentine saldırısıyla ilgili ""Katil İsrail’in Refah'ta savunmasız ve masum insanlara yönelik düzenlediği saldırıyı lanetliyorum"" açıklamasını yaptı."
Gümrük muhafaza ekipleri sigara ve tütün kaçakçılığına geçit vermiyor,"Ticaret Bakanlığı Gümrük Muhafaza ekipleri, kaçakçılıkla mücadele çalışmaları kapsamında geçen yıl 1144 ton sigara ve 515 ton tütüne el konulmasını sağladı."
Milli elektrikli tren seti 1 yılda 575 bin yolcu taşıdı,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Gebze ile Adapazarı arasında geçen yıl hizmet vermeye başlayan milli elektrikli tren setinin, 1 yılda 575 bin yolcu taşıdığını söyledi."
Cumhurbaşkanı Erdoğan: Netanyahu lanetle anılmaktan kurtulamayacak,"Cumhurbaşkanı Erdoğan,Netanyahu ve cinayet şebekesi Filistin halkının kahramanca direnişini kıramadıkça ülkesinde iyice sıkışmakta, daha fazla kan dökerek siyasi ömrünü uzatmaya çalışmaktadır. Ama bunun hiçbir fayda sağlamadığını pek yakında görecek. Tıpkı özendiği Hitler gibi lanetle anılmaktan kurtulamayacak"" dedi."
Kripto varlıkları düzenleme çalışmaları dünyada sürüyor,"Kripto varlıklara yönelik kanun teklifinin, TBMM'de görüşülmesi beklenirken, dünya genelinde de bu varlıklara ilişkin regülasyon çalışmaları devam ediyor."
"Cumhurbaşkanı Erdoğan, CHP'yi 9 Haziran'dan sonra ziyaret edecek","Cumhurbaşkanı Recep Tayyip Erdoğan, CHP Genel Başkanı Özgür Özel'e iadeiziyaretini 9 Haziran'dan sonra yapacağını açıkladı."
Bakan Fidan'dan Avrupa ülkelerine Filistin'i tanıma çağrısı,"Dışişleri Bakanı Hakan Fidan, İspanya, Norveç ve İrlanda'nın Filistin'i tanıyarak ""uluslararası barış ve güvenliğe büyük katkı sağladığını"" belirterek, diğer Avrupa ülkelerini Filistin'i devlet olarak tanımaya çağırdı."
Erdoğan: Gelişmiş hiçbir ülkede olmayan başıboş köpek sorunumuz var,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Gelişmiş hiçbir ülkede olmayan başıboş köpek sorunumuz var. Bazı ülkeler Türkiye’ye gelecek vatandaşlarını kuduz ve sahipsiz köpekler için uyarmaya başladı."" dedi."
Bakan Göktaş: İsrail dünyanın gözü önünde soykırım gerçekleştiriyor,"Aile ve Sosyal Hizmetler Bakanı Mahinur Özdemir Göktaş, ""İsrail, dünyanın gözü önünde çok büyük bir soykırım gerçekleştiriyor"" dedi."
Bakan Tekin'den özel sektörde çalışan öğretmenlerle ilgili açıklama,"Milli Eğitim Bakanı Yusuf Tekin, özel sektörde çalışan öğretmenlerin ücret konusundaki taleplerine ilişkin, ""Özel okul temsilcileri ile bu konularda görüşüyoruz. Öğretmen arkadaşlarımızı mağdur etmeyecek çözümler üretmeye çalışıyoruz."" dedi."
Cumhurbaşkanı Erdoğan: Ey Amerikan devleti bu kan senin eline de bulaşmıştır,"Cumhurbaşkanı Recep Tayyip Erdoğan, ABD'ye İsrail'e verdiği destekten dolayı, ""Dünya bir hastanın, manyağın, Netanyahu'nun kanla beslenen vampirliğini izliyor. Ey Amerikan devleti bu kan senin eline de bulaşmıştır. Bunda İsrail kadar sende sorumlusun. İsrail'in bu soykırımlığına, vampirliğine sizde ortak oldunuz"" sözleriyle tepki gösterdi."
Bakan Tunç: Başıboş köpeklerle ilgili taslak çalışması Meclis'te,"Adalet Bakanı Yılmaz Tunç, başıboş sokak köpekleri düzenlemesine ilişkin taslağın Meclis'e gönderildiğini açıkladı. Tunç, ""Hem hayvanları koruyacak hem de insan sağlığını tehdit eden durumu ortadan kaldırmaya yönelik orta yol bulunması gerekli"" dedi."
"Bakan Güler, Somalili mevkidaşı ile görüştü","Milli Savunma Bakanı Yaşar Güler, İzmir'de, Somali Savunma Bakanı Abdulkadir Muhammed Nur ile bir araya geldi."
Süper Lig'e son bilet,"Trendyol 1. Lig'de Eyüpspor ve Göztepe'nin ardından Süper Lig'e yükselecek son ekip, yarın Adana'da yapılacak Sakaryaspor-Bodrum FK maçının galibi olacak."
"Bakan Fidan, Gazze görüşmeleri için İspanya'ya gidiyor","Türkiye'nin Gazze için yürüttüğü yoğun diplomasi trafiği devam ediyor. Dışişleri Bakanı Hakan Fidan, bu kapsamda yarın İspanya'ya gidiyor."
"İletişim Başkanı Altun, Azerbaycan'ın Bağımsızlık Günü'nü kutladı","Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun, Azerbaycan'ın Bağımsızlık Günü'nü kutladı."
MGK'da terörle mücadele ve Gazze'ye destek vurgusu,"MGK Bildirisi’nde, terörle mücadeleye ilişkin ""Milli güvenliğimiz ve komşularımızın toprak bütünlüğü hilafına herhangi bir oldubittiye fırsat verilmeyeceği vurgulanmıştır"" denildi. Toplantıda, İsrail'in Gazze katliamları da ele alındı. Filistin Devleti’ni tanıyan ülkelerin sayısının artmasının kritik önemde olduğu vurgulandı."
