Başlık,İçerik
"Bakan Güler, Libya Genelkurmay Başkanı ile görüştü","Milli Savunma Bakanı Yaşar Güler, Libya Genelkurmay Başkanı Orgeneral Muhammed Ali Al-Haddad ile görüştü."
"AK Parti Grup Başkanı Güler: Başıboş köpekler toplanacak, kısırlaştırılacak, sahiplendirilecek","Başıboş köpek düzenlemesinde toplumun her kesimini titizlikle dinlediklerini söyleyen AK Parti Grup Başkanı Güler, ""İlk etapta yapacağımız işlem, sokakta güvenlik sorunu haline gelmiş, saldırganlaşmış, kuduz riski taşıyan, çeteleşmiş, vatandaşlarımıza zarar veren köpeklerimizi toplamak"" dedi."
"Cumhurbaşkanı Erdoğan, İrlanda ve Norveç Başbakanları ile görüştü","Cumhurbaşkanı Erdoğan, İrlanda Başbakanı Harris ve Norveç Başbakanı Jonas Gahr Store ile telefonda görüştü. Görüşmelerde ülkeler arası ilişkiler, İsrail’in Gazze başta olmak üzere Filistin topraklarında gerçekleştirdiği katliamlar ile küresel ve bölgesel gelişmeler ele alındı."
Bakan Özhaseki: Deprem bölgesinde sene sonuna kadar teslim edeceğimiz konut sayısı 200 bin civarında,"Bakan Özhaseki, deprem bölgesindeki çalışmalara ilişkin, ""Şimdi orada 1240 yerde şantiyemiz var, 110 bin kişilik bir işçi ordusuyla çalışıyoruz, 4 bin 333 köyde köy evi yapıyoruz. Bu senenin sonuna kadar teslim edeceğimiz konut sayısı 200 bin civarında"" açıklamasını yaptı."
1 Mayıs'ta polislere saldıran 30 şüpheli için istenen ceza belli oldu,1 Mayıs Emek ve Dayanışma Günü'nde Taksim Meydanı'na ilerlemeye çalışıp polislere saldırdıkları gerekçesiyle gözaltına alınan şüphelilerden 30'u hakkında 17'şer yıla kadar hapis cezası istendi.
"Bakan Güler, Kongo ve Azerbaycanlı mevkidaşları ile görüştü","Milli Savunma Bakanı Yaşar Güler, Kongo Savunma Bakanı Charles Richard Mondjo ve  Azerbaycan Savunma Bakanı Orgeneral Zakir Hasanov ile bir araya geldi."
AK Parti'nin kamp programı belli oldu,"AK Parti'nin 31. İstişare ve Değerlendirme Toplantısı'nda yerel seçim sonuçları ve parti çalışmaları değerlendirilecek. Ayrıca ekonomi, enerji, tarım, adalet, güvenlik ve dış politika konuları da görüşülecek."
Son bir haftada 44 terörist etkisiz hale getirildi,"Milli Savunma Bakanlığı, Irak ve Suriye'nin kuzeyi dahil, 44'ü son bir haftada olmak üzere 1 Ocak'tan bugüne kadar 1092 teröristin etkisiz hale getirildiğini bildirdi."
"Bakan Mehmet Özhaseki'den belediye başkanlarına ""dirençli ev"" çağrısı","Çevre, Şehircilik ve İklim Değişikliği Bakanı Özhaseki, bütün partilerin belediye başkanlarına bu ülkeyi, evleri daha dirençli hale getirme, depreme hazırlık yapma çağrısında bulunduğunu belirterek, şu ana kadar 'kentsel dönüşüm' talebiyle gelen hiç kimsenin geri çevrilmediğini söyledi."
"Cumhurbaşkanı Erdoğan, İtalya Başbakanı Meloni ile telefonda görüştü","Cumhurbaşkanı Recep Tayyip Erdoğan, İtalya Başbakanı Giorgia Meloni ile telefon görüşmesi gerçekleştirdi. Görüşmede Türkiye ile İtalya ilişkileri, İsrail’in Filistin topraklarındaki katliamları, bölgesel ve küresel konular ele alındı."
SGK: Şehit yakınlarının ayrıcalıklarının kaldırıldığı iddiası gerçek değil,"Sosyal Güvenlik Kurumu (SGK), şehit yakınlarının sağlık hizmetlerinde ayrıcalıklarının kaldırılarak, katılım payı ve ilave ücret alındığına ilişkin iddiaların gerçeği yansıtmadığını açıkladı."
İsrail'in Refah saldırılarını kınayan tezkere TBMM'de kabul edildi,"TBMM Genel Kurulu'nda, İsrail'in Refah saldırılarını kınayan Meclis Başkanlığı tezkeresi kabul edildi."
"Dışişleri Bakanlığı, Solingen faciasında hayatını kaybedenleri andı","Dışişleri Bakanlığı, Almanya'da 31 yıl önce Solingen faciasında hayatını kaybeden Genç ailesini anarak, Türkiye'nin ırkçılıkla, yabancı ve İslam düşmanlığıyla mücadelesini sürdüreceğini bildirdi."
SSB Başkanı müjdeyi TRT Haber'de açıkladı: Altay tankı seri üretime geçti,"Savunma Sanayii Başkanı Haluk Görgün, TRT Haber'e yaptığı açıklamada Altay tankının seri üretime geçtiği müjdesini verdi."
Bakan Şimşek: Dezenflasyon sürecinin eşiğindeyiz,"Hazine ve Maliye Bakanı Mehmet Şimşek, ""Şu anda dezenflasyon sürecinin eşiğindeyiz. Başlangıçta baz etkisi nedeniyle hızlı şekilde enflasyon inecek"" dedi."
Türkiye'de yaklaşık 6 milyon kişi çipli kimlik kartına geçmedi,Türkiye genelinde 5 milyon 954 bin 216 kişi eski tip nüfus cüzdanını kullanmayı sürdürüyor.
Ala: AK Parti ikinci bir reform dalgasına hazırlanıyor,"AK Parti Genel Başkanvekili Efkan Ala, hızlı bir reform süreci yapacaklarını belirterek, ""Türkiye'nin önünü açacak düzenlemelere ihtiyaç var ve onları yapıp değiştireceğiz. AK Parti, Ankara kriterlerini baz alarak ikinci bir reform dalgasına hazırlanıyor"" dedi."
İstanbul'un fethinin 571. yılı kutlanıyor,"İstanbul'un fethinin 571. yıl dönümü nedeniyle düzelenen etkinlikler kapsamında, Fatih Sultan Mehmet'in türbesi ziyaret edildi."
Emine Erdoğan'dan İstanbul'un fethi paylaşımı,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan, İstanbul'un Fethi'nin 571'inci yıl dönümü vesilesiyle dönemin padişahı Fatih Sultan Mehmet ve askerlerini rahmetle andığını belirtti."
Cumhurbaşkanı Erdoğan'dan İstanbul'un fethi mesajı,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Dünya tarihinin ve tarihimizin muhteşem zaferlerinden biri olan İstanbul’un Fethi’nin 571. yıl dönümünü kutluyorum."" dedi."
Bakan Fidan Gazze görüşmeleri için İspanya'da,"Türkiye'nin Gazze için yürüttüğü yoğun diplomasi trafiği devam ediyor. Dışişleri Bakanı Hakan Fidan, bu kapsamda bugün İspanya'ya gitti."
'Dışişleri Vakfı' teklifi Meclis gündeminde,Meclis Genel Kurulu'nda Dışişleri Teşkilatını Güçlendirme Vakfı kurulmasına ilişkin teklifin  geneli üzerindeki görüşmeler tamamlandı.
Bakan Uraloğlu: Pekin'den Londra'ya nakliye süresi 25 güne düşecek,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Zengezur Koridoru'nun hayata geçmesi için Türkiye tarafındaki çalışmaların bu yıl başlayacağını söyledi. Kalkınma Yolu Projesinin ticaret açısından önemine değinen Bakan Uraloğlu, proje ile Pekin'den Londra'ya nakliye süresinin 25 güne düşeceğini duyurdu."
"Bakan Fidan, Gazze görüşmeleri için İspanya'ya gidiyor","Türkiye'nin Gazze için yürüttüğü yoğun diplomasi trafiği devam ediyor. Dışişleri Bakanı Hakan Fidan, bu kapsamda yarın İspanya'ya gidiyor."
Milli Güvenlik Kurulu toplantısı sona erdi,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın başkanlığındaki Milli Güvenlik Kurulu (MGK), toplantısı sona erdi."
"Cumhurbaşkanı Erdoğan, Azerbaycan'ın Bağımsızlık Günü'nü kutladı","Cumhurbaşkanı Erdoğan, Azerbaycan'ın 28 Mayıs Bağımsızlık Günü'nü, ""Tüm Azerbaycanlı kardeşlerimizin haklı gururunu ve sevincini yürekten paylaşıyorum. Müstakillik uğruna şehit düşen kahramanlarımızı saygı ve rahmetle yâd ediyorum"" sözleriyle kutladı."
Cumhurbaşkanı Erdoğan: Milletle arasına duvar örenlerin gözünün yaşına bakmayız,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Devlet millet arasına duvar ören eski alışkanlıkların tekrar baş göstermesine izin vermeyiz. Bu tür yollara tevessül edenlerin de gözünün yaşına bakmayız"" dedi."
Bahçeli'den İsrail için ağır yaptırım çağrısı: Köklü müdahalelerin vaktidir,"MHP Genel Başkanı Devlet Bahçeli, Gazze'de soykırım uygulayan İsrail'e çok sert tepki gösterdi. Bahçeli, ""Ekonomik, diplomatik tedbirler yerine cezalandırıcı askeri yaptırımlarla müdahale edilmeli."
6-8 Ekim olayları hakkında düzenlenen iddianame mahkemeye gönderildi,"6-8 Ekim olaylarına ilişkin eski HDP milletvekilleri Hüda Kaya, Serpil Kemalbay Pekgözegü, Garo Paylan, Fatma Kurtulan ve Pero Dundar hakkında düzenlenen iddianame Ankara 22. Ağır Ceza Mahkemesine gönderildi."
Bakan Fidan: ABD'nin desteği olmasa soykırımın sürmesi mümkün değil,"Dışişleri Bakanı Hakan Fidan, İsrail'in Gazze'deki katliamına ilişkin, ""Başta Amerika olmak üzere bazı devletlerin İsrail'e olan bu desteği olmasa bu soykırımın sürmesi mümkün değil. İsrail, insanlık vicdanında gerekli muameleyi görecek"" dedi."
İsrail uluslararası hukuku tanımıyor: Kim durduracak?,"İsrail'in Gazze’ye yönelik insanlık dışı saldırılarının şiddeti her geçen gün artarken Tel Aviv'in ne uluslararası hukuku ne de toplumsal baskıyı tanıdığı görülüyor. Uzmanlar, İsrail’in devlet olarak bir vasfının kalmadığını, Netanyahu’nun da gittikçe köşeye sıkıştığını söylüyor."
Bakan Koca Dünya Sağlık Asamblesi 77. Oturumu'na katılacak,"Sağlık Bakanı Fahrettin Koca, bugün Cenevre'de yapılacak Dünya Sağlık Asamblesi 77. Oturumu'na katılacak."
"Bakan Fidan: Yaşanan olaylar, PKK'nın Avrupa'da tehdit teşkil ettiğini bir kez daha ortaya koydu","Dışişleri Bakanı Fidan, terör örgütü PKK yandaşlarının Belçika, Fransa ve Almanya'da Türk vatandaşlarına ve kurumlara yönelik mart ayındaki saldırılarına ilişkin, ""Yaşanan olaylar, PKK'nın Avrupa'da faaliyet gösterdiği ülkelerde kamu düzenine tehdit teşkil ettiğini bir kez daha ortaya koymuştur."" değerlendirmesinde bulundu."
Otomotivde yeni dönem: 7 Temmuz milat olacak,"Otomotiv sektörünün gözü 7 Temmuz’a çevrildi… Daha önce ciddi paralar ödenerek satın alınan opsiyonel kimi güvenlik uygulamaları bu tarihten itibaren standart olmak zorunda. Uzmanlara göre, Türkiye’nin de AB mevzuatına uyum çerçevesinde uygulayacağı yeni dönem eldeki otomobillerin satışını da 2. el piyasasını da doğrudan etkileyebilir…"
